index,movieName,databaseId,movielensId,imdbId
118,WALL-E (2008),77707,-1,-1
119,The Humanoid (1979),77737,126591,0080058
120,National Treasure,77747,8972,0368891
121,Ring 2 (1999),77785,-1,-1
122,Clerks (1994),77788,223,0109445
123,Prom Night (1980),77793,1987,0081383
124,A Perfect Murder (1998),77798,1892,0120787
125,Stuck on You (2003),77806,7150,0338466
126,Live Free or Die (2006),77818,67138,0432318
127,In Good Company (2004),77866,30822,0385267
128,The Ring (2017),77867,-1,-1
129,The Expendables,77868,79695,1320253
130,Four Sisters and a Wedding (2013),77888,-1,-1
131,Cars 3 (2009),77894,-1,-1
132,Spy Game (2001),77898,4901,0266987
133,Fatal Bond (1992),77905,-1,-1
134,Strange Wilderness (2008),77910,57536,0489282
135,War Room (2015),77918,141668,3832914
136,Ong-Bak: Muay Thai Warrior (2003),77925,-1,-1
137,Akira (1988),77945,1274,0094625
138,A Low Down Dirty Shame (1994),77946,387,0110399
139,Black Mass (2015),77983,136018,1355683
140,The First Power (1990),77986,108282,0099578
141,Death Wish (1974),78010,3430,0071402
142,Kagemusha (1980),78019,3091,0080979
143,The Double Life of Veronique (1991),78035,-1,-1
144,Wish I Was Here (2014),78058,112946,2870708
145,Robin Hood (1991),78062,176267,0102797
146,Ed Wood (1994),78076,235,0109707
147,Wood Love (1925),78099,-1,-1
148,Enemy (2015),78108,-1,-1
149,Joe Dirt 2: Beautiful Loser (2015),78132,138798,4126340
150,Chiko (2008),78154,109893,1132474
151,Willy Wonka & the Chocolate Factory (1971),78168,1073,0067992
152,The Terminal (2004),78172,8529,0362227
153,Scary Movie (2000),78186,3785,0175142
154,Texas Chainsaw 3D (2013),78201,99721,1572315
155,Run Fatboy Run (2007),78207,58162,0425413
156,The Producers (2005),78233,42002,0395251
157,Halloweentown,78241,125970,0173886
158,The Room (2003),78267,74754,0368226
159,Billy Elliot (2000),78326,3967,0249462
160,Deadpool (2016),78340,122904,1431045
161,The Ghost and the Darkness (1996),78343,1049,0116409
162,Burglar (1987),78352,3715,0092710
163,Soylent Green (1973),78354,2009,0070723
164,Holy Water (2009),78361,122455,1292652
165,Percy Jackson,78373,-1,-1
166,Houseful (2009),78399,-1,-1
167,The Avengers (2012),78418,89745,0848228
168,Twisted (2004),78426,7321,0315297
169,Battlefield Earth (2000),78436,3593,0185183
170,Valentine (2001),78445,4143,0242998
171,Paprika (2006),78453,-1,-1
172,Kingdom of Heaven (2005),78475,33162,0320661
173,Murder in the First (1995),78479,280,0113870
174,The Green Mile (1999),78480,3147,0120689
175,Over the Top (1987),78491,7016,0093692
176,Superman II (1980),78504,2641,0081573
177,The Slammin' Salmon (2009),78510,76060,1135525
178,The Return of the Pink Panther (1975),78531,1125,0072081
179,Much Ado About Nothing (1993),78559,497,0107616
180,A Time to Kill (1996),78562,805,0117913
181,The Incredible Invasion (1971),78566,-1,-1
182,The Host (2013),78634,101577,1517260
183,Criminal (2016),78639,135530,3014866
184,Taxi (2004),78644,8912,0316732
185,Zeitgeist (2007),78664,-1,-1
186,Resolution (2012),78665,102066,1977895
187,They Live (1988),78670,4553,0096256
188,I Think I Love My Wife (2007),78673,51903,0770772
189,Saturday Night Fever (1977),78719,5693,0076666
190,Snow White and the Seven Dwarfs (1937),78766,594,0029583
191,Not Another Happy Ending (2013),78779,125912,1808339
192,The In-Laws (1979),78799,26425,0079336
193,The Spy Next Door (2010),78801,74580,1273678
194,The Shaggy Dog (2006),78804,44399,0393735
195,Paparazzi (2004),78807,8835,0338325
196,Psycho (2008),78824,-1,-1
197,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,78854,-1,-1
198,Mom and Dad Save the World (1992),78869,49110,0104905
199,Click (2006),78874,45672,0389860
200,Saw VI (2009),78887,72129,1233227
201,Eraser (1996),78888,786,0116213
202,Dusk to Dawn (1922),78925,-1,-1
203,Once Upon a Time in the West (1968),78926,-1,-1
204,The Adventures of Pinocchio (1996),78929,828,0115472
205,Man-Proof (1938),78943,123401,0030412
206,It's a Free World... (2007),78950,58029,0807054
207,Norbit (2007),78958,50806,0477051
208,The Haunting (1999),78977,2719,0171363
209,Outland (1981),79001,4443,0082869
210,Thelma,79045,178335,6304046
211,Alien (1979),79062,1214,0078748
212,Bullets over Broadway (1994),79072,-1,-1
213,Raging Bull (1980),79106,1228,0081398
214,Uprising (2001),79114,27372,0250798
215,Dances with Wolves (1990),79136,590,0099348
216,For a Few Dollars More (1965),79142,-1,-1
217,Oz the Great and Powerful (2013),79153,101112,1623205
218,Giant (1956),79187,948,0049261
219,The Wild Geese (1978),79205,40973,0078492
220,May (2002),79206,6063,0303361
221,Absolutely Anything (2015),79266,135885,1727770
222,West Side Story (1961),79278,1947,0055614
223,Bitter Harvest (2016),79284,-1,-1
224,The Parent Trap (1961),79289,1013,0055277
225,Open Season (2006),79313,48414,0400717
226,Contact (2009),79320,-1,-1
227,The Other Sister (1999),79341,2506,0123209
228,"The Way, Way Back (2013)",79370,102993,1727388
229,Chicken Little (2005),79379,40339,0371606
230,Night of the Living Dead (1968),79385,968,0063350
231,Anatomy of a Murder (1959),79401,3801,0052561
232,Mortal Kombat: Rebirth (2010),79407,-1,-1
233,Kubo and the Two Strings (2016),79408,162578,4302938
234,Machete Kills (2013),79421,-1,-1
235,Cannibal! The Musical (1993),79429,-1,-1
236,Wild Thing (1987),79439,130237,0094325
237,Predator,79451,3527,0093773
238,The Tree of Life (2011),79464,86898,0478304
239,Dragnet (1987),79468,7102,0092925
240,Monster House (2006),79512,46948,0385880
241,Air Bud (1997),79543,1592,0118570
242,The Disappearance of McKinley Nolan (2010),79553,-1,-1
243,Drag Me to Hell (2009),79665,68952,1127180
244,"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",79689,6991,0087365
245,The Hurt Locker (2008),79698,69481,0887912
246,Fat Albert (2004),79707,30883,0396592
247,The Last Boy Scout (1991),79743,7007,0102266
248,China (2016),79750,-1,-1
249,8 Heads in a Duffel Bag (1997),79752,1503,0118541
250,Bully (2001),79755,4450,0242193
251,Gran Torino (2008),79779,64614,1205489
252,Homeward Bound II: Lost in San Francisco (1996),79811,609,0116552
253,We're Back! A Dinosaur's Story (1993),79815,3400,0108526
254,The Divergent Series: Insurgent (2015),79824,-1,-1
255,The Skeleton Key (2005),79834,34532,0397101
256,The Mask (1988),79851,156708,0095598
257,The Time Machine (2002),79856,5171,0268695
258,The Bible: In the Beginning... (1966),79863,-1,-1
259,Puncture (2011),79888,90471,1582248
260,The Debt (2010),79894,-1,-1
261,The Gladiator (1986),79924,-1,-1
262,Fifty Shades of Grey (2015),79935,125916,2322441
263,Deranged (1974),79945,8139,0071408
264,A Christmas Carol (2009),79954,72294,1067106
265,Split (2017),79968,166534,4972582
266,Bully (2011),79978,94130,1682181
267,Cinderella (1994),79989,111961,0910852
268,The Amazing Spider-Man 2 (2014),80009,110553,1872181
269,Maverick (1994),80014,368,0110478
270,War of the Buttons (2011),80024,145731,1861375
271,Lady in White (1988),80038,-1,-1
272,Toy Story (1995),80067,1,0114709
273,Home for Christmas (2010),80074,-1,-1
274,Can't Hardly Wait,80108,1895,0127723
275,Omen (2003),80131,-1,-1
276,Project A (1983),80133,-1,-1
277,Boy Wonder (2010),80178,106254,1456060
278,Planes: Fire & Rescue (2014),80188,112460,2980706
279,Boat Trip (2002),80203,-1,-1
280,The Devil Wears Prada (2006),80208,45720,0458352
281,A Serious Man (2009),80213,71464,1019452
282,Jennifer's Body (2009),80235,71205,1131734
283,Annie (1982),80240,4039,0083564
284,Zinda (2006),80264,-1,-1
285,The Lion King II: Simba's Pride (1998),80284,26999,0120131
286,Die,80289,100056,1465478
287,The Creeper (1948),80306,-1,-1
288,Mission: Impossible,80325,648,0117060
289,Annie (2014),80336,120132,1823664
290,Under the Shadow (2016),80429,155625,4273292
291,Jaws in Japan (2009),80442,-1,-1
292,F (2010),80446,-1,-1
293,Friday After Next (2002),80448,5874,0293815
294,A Simple Plan (1998),80519,2391,0120324
295,I Am Really Sorry (1976),80534,-1,-1
296,Dragonball Evolution (2009),80576,67867,1098327
297,The Handmaiden (2016),80587,158783,4016934
298,All's Faire in Love (2009),80598,98842,1034090
299,Godzilla: Tokyo S.O.S. (2003),80603,-1,-1
300,Moses (1995),80649,161496,0117086
301,The Cat and the Kit (1925),80683,-1,-1
302,Sister Act (1992),80685,3247,0105417
303,Wild (2016),80691,158840,4071086
304,Anaconda (1997),80699,1499,0118615
305,Next of Kin (1989),80716,4629,0097967
306,Boiler Room (2000),80769,3298,0181984
307,Vengeance (1968),80811,142352,0063159
308,Early Man,80865,183833,4701724
309,"Good Morning, Vietnam (1987)",80886,3448,0093105
310,The Cave (2005),80918,36509,0402901
311,Night Falls on Manhattan (1997),80966,-1,-1
312,The Great Beauty (2013),80981,-1,-1
313,Boo! A Madea Halloween (2016),80985,168408,5325452
314,Police Academy,81006,2378,0087928
315,Third Man on the Mountain (1959),81024,-1,-1
316,We're the Millers (2013),81075,104211,1723121
317,Cube 2: Hypercube (2002),81078,27482,0285492
318,How to Train Your Dragon 2 (2014),81080,112175,1646971
319,Holidays (2016),81087,157881,4419364
320,X (1986),81108,-1,-1
321,It Comes at Night (2017),81135,170945,4695012
322,Friday (1995),81162,69,0113118
323,Date with an Angel (1987),81165,3393,0092834
324,The Pacifist (1970),81196,158799,0067544
325,Freebie and the Bean (1974),81209,61934,0071521
326,Religulous (2008),81232,59126,0815241
327,S (2012),81234,-1,-1
328,Them! (1954),81265,2287,0047573
329,Movie 43 (2013),81296,100083,1333125
330,Haunted Rooh (2016),81307,-1,-1
331,Johnny Be Good (1988),81316,4516,0095409
332,Waiting for Forever (2010),81317,89217,1296898
333,Once Upon a Time in China,81353,-1,-1
334,Fargo (1996),81385,608,0116282
335,The Mission (1986),81415,2745,0091530
336,The Man in the Moon (1991),81416,4061,0102388
337,A Serbian Film (2010),81432,-1,-1
338,Annie (1976),81468,129374,0072987
339,The Rise of the Krays (2015),81469,141916,2945796
340,Captain Corelli's Mandolin (2001),81474,4727,0238112
341,Triangle (2009),81475,74228,1187064
342,Dinosaur (2000),81492,3615,0130623
343,Black Beauty (1971),81530,8929,0066834
344,Lego Marvel Super Heroes: Maximum Overload (2013),81559,-1,-1
345,Batman Returns (1992),81563,1377,0103776
346,Flight (2012),81568,97923,1907668
347,The Purple Rose of Cairo (1985),81617,2065,0089853
348,Expelled from Paradise,81625,117446,2859246
349,13 Going on 30 (2004),81660,7444,0337563
350,Life (2007),81669,-1,-1
351,Hall Pass,81702,85022,0480687
352,The Importance of Being Earnest (2002),81715,5380,0278500
353,"Red Firecracker, Green Firecracker (1994)",81748,-1,-1
354,Never Say Die (1939),81775,-1,-1
355,Zootopia,81792,152081,2948356
356,Filth (2013),81805,105593,1450321
357,Monster (2008),81819,122774,1148277
358,Spirited Away,81860,-1,-1
359,The Treasure of the Sierra Madre (1948),81865,1254,0040897
360,A Quiet Place to Kill (1970),81878,133093,0064787
361,Écoute voir (1979),81881,-1,-1
362,The Magnificent Nine,81898,-1,-1
363,Son of Flubber (1963),81916,2098,0057518
364,Miss You Already (2015),81919,144698,2245003
365,Rocky Balboa (2006),81968,49651,0479143
366,The Prophecy (1995),82001,188,0114194
367,The Killer Inside Me (2010),82020,78679,0954947
368,Perfume (2001),82022,124544,0245356
369,Ruby Sparks (2012),82029,95873,1839492
370,Prancer (1989),82041,2400,0098115
371,Cyborg X,82075,161288,3899262
372,Last Days in Vietnam (2014),82087,127441,3279124
373,How to Steal a Million (1966),82145,8033,0060522
374,Super Size Me (2004),82153,8464,0390521
375,Julia's Eyes (2010),82201,-1,-1
376,Top Secret! (1984),82233,5500,0088286
377,The Client (1994),82284,350,0109446
378,The Maltese Falcon (1941),82321,913,0033870
379,Wallace & Gromit: The Curse of the Were-Rabbit (2005),82330,-1,-1
380,Into Temptation (2009),82346,-1,-1
381,Memories of Murder (2003),82353,-1,-1
382,The Hidden (1987),82380,3576,0093185
383,Wall Street (1987),82417,4007,0094291
384,The French Connection (1971),82419,1953,0067116
385,Coming Home (1978),82421,3724,0077362
386,Devil's Knot (2013),82430,110828,0804463
387,Something Wicked This Way Comes (1983),82446,2097,0086336
388,New Jersey Drive (1995),82467,283,0113967
389,The Haunting in Connecticut (2009),82473,67186,0492044
390,What's Eating Gilbert Grape (1993),82476,337,0108550
391,Jacob and Esau,82484,-1,-1
392,MASH (1970),82497,-1,-1
393,Anonymous (2011),82536,90645,1521197
394,Conviction (2010),82537,80939,1244754
395,Hardcore Henry (2015),82567,142509,3072482
396,The Wild Bunch (1969),82569,599,0065214
397,Psycho (1998),82596,2389,0155975
398,The Goonies (1985),82602,2005,0089218
399,My Super Ex-Girlfriend,82631,45732,0465624
400,The Equalizer (2014),82641,112171,0455944
401,Waco: A New Revelation (1999),82650,97134,0259731
402,Into the Blue (2005),82657,37853,0378109
403,Stuart Little (1999),82756,3157,0164912
404,Death Race (2008),82763,61248,0452608
405,The Star of Santa Clara (1958),82766,-1,-1
406,When We First Met,82775,184015,5783956
407,A Perfect World (1993),82795,507,0107808
408,Diary of a Wimpy Kid,82808,77206,1196141
409,Miles Ahead (2015),82830,-1,-1
410,The Last Unicorn (1982),82857,6093,0084237
411,Cannibal (2006),82858,173519,0910548
412,Day of the Dead (1985),82871,6731,0088993
413,Sex and the City 2 (2010),82876,78174,1261945
414,Cabin in the Sky (1943),82893,47493,0035703
415,Frozen (2013),82894,106696,2294629
416,Minions (2015),82923,135887,2293640
417,Heist (2015),82955,146900,3276924
418,The Bear (1988),82969,-1,-1
419,The Overnight (2015),82990,127204,3844362
420,Day Watch (2006),83006,-1,-1
421,Scream 4 (2011),83057,86295,1262416
422,Free Fire (2016),83101,-1,-1
423,The Neon Demon (2016),83105,155064,1974419
424,Can-Can (1960),83116,67892,0053690
425,Final Destination 5 (2011),83132,88932,1622979
426,Acts of Worship (2001),83180,33092,0275182
427,What Lies Beneath (2000),83192,3798,0161081
428,Ninja Scroll (1993),83236,-1,-1
429,The House (1983),83243,-1,-1
430,It Could Happen to You (1994),83274,361,0110167
431,Haunted House (2004),83305,-1,-1
432,Jump (1999),83321,-1,-1
433,The 10th Kingdom,83343,27251,0207275
434,The Ruling Class (1972),83370,1162,0069198
435,Sleeping Beauty (1959),83388,2096,0053285
436,Ricochet (1991),83389,56848,0102789
437,Thief (1981),83396,5867,0083190
438,The Purge: Election Year (2016),83406,160565,4094724
439,Buffy the Vampire Slayer (1992),83430,3264,0103893
440,The Thing (2011),83436,90345,0905372
441,All About My Mother (1999),83451,-1,-1
442,A Walk to Remember (2002),83472,5066,0281358
443,Over the Edge (1979),83489,43177,0079688
444,The Bourne Identity (1988),83539,26614,0094791
445,Jumanji (2017),83552,-1,-1
446,Night of Dark Shadows (1971),83570,122735,0067491
447,Starcrash (1979),83582,-1,-1
448,The Amityville Horror (1979),83586,1327,0078767
449,Kevin Hart: Let Me Explain (2013),83617,121155,2609912
450,Harry and the Hendersons (1987),83624,3388,0093148
451,Table 19 (2017),83655,170401,1412528
452,The New Swiss Family Robinson (1998),83675,170833,0130142
453,Bananas (1971),83716,1078,0066808
454,Five Shaolin Masters (1974),83749,155444,0072991
455,Mr. Holland's Opus (1995),83757,62,0113862
456,Primal Fear (1996),83766,628,0117381
457,Showboy (2002),83775,-1,-1
458,Ella Enchanted (2004),83789,7380,0327679
459,Europa Report (2013),83790,103306,2051879
460,True Grit (2010),83814,82459,1403865
461,Spanglish (2004),83853,27808,0371246
462,My Big Love (2008),83896,-1,-1
463,The Central Park Five (2012),83905,99468,2380247
464,Strange Circus (2005),83947,-1,-1
465,Hancock (2008),83948,60074,0448157
466,Steel Magnolias (2012),83951,-1,-1
467,The Magnificent Seven (1960),83976,4327,0054047
468,Donnie Darko (2001),84001,4878,0246578
469,127 Hours (2010),84003,81562,1542344
470,Castaway (1986),84007,65612,0092732
471,Speed Racer (2008),84009,59037,0811080
472,Sleeping Beauty (1995),84026,-1,-1
473,The Man Who Knew Too Much (1956),84028,2183,0049470
474,Hannibal (1959),84036,160606,0053891
475,Charlotte's Web (2006),84097,49647,0413895
476,Tank (1984),84100,8634,0088224
477,Slap Shot (1977),84153,5292,0076723
478,Cloverfield,84195,57368,1060277
479,Hiding Out (1987),84201,4115,0093186
480,The City of Lost Children (1995),84248,-1,-1
481,Houseguest (1995),84269,-1,-1
482,Pineapple Express (2008),84273,61024,0910936
483,Justice League: Gods and Monsters (2015),84310,138104,4324302
484,The Wizard (1989),84332,4683,0098663
485,Instructions Not Included (2013),84339,-1,-1
486,Paranormal Activity 2 (2010),84363,81417,1536044
487,Mickey's Magical Christmas: Snowed in at the House of Mouse,84379,-1,-1
488,Before I Fall (2017),84387,168286,1691916
489,Tunisian Victory,84411,133638,0037404
490,Ghost Rider (2007),84422,51077,0259324
491,Heaven & Earth (1993),84434,465,0107096
492,Godfather (2007),84436,-1,-1
493,Girlfight (2000),84456,3915,0210075
494,Diva (1981),84473,1264,0082269
495,First Kill (2001),84488,-1,-1
496,The Long Voyage Home (1940),84517,48123,0032728
497,Smiley (2012),84524,107684,2025667
498,Fist of Fury,84553,-1,-1
499,Swimfan (2002),84561,5564,0283026
500,The Human Centipede 3 (2015),84571,-1,-1
501,Alien 2: On Earth (1980),84597,165589,0078749
502,The Wedding Game (2009),84704,-1,-1
503,Jobs (2013),84710,104303,2357129
504,Flatliners (2017),84766,176105,2039338
505,Birdman (2014),84769,-1,-1
506,Solitary Man (2009),84772,78774,1294213
507,The Triplets of Belleville (2003),84779,-1,-1
508,Manos: The Hands of Fate (1966),84788,26157,0060666
509,Pretty Woman (1990),84798,597,0100405
510,Noel (2004),84823,30659,0383534
511,Two Weeks Notice,84828,5957,0313737
512,It (1966),84831,-1,-1
513,Vertigo (1958),84837,903,0052357
514,Dracula 2012 (2013),84839,-1,-1
515,The Secret in Their Eyes (2009),84847,-1,-1
516,Shaft (2000),84853,3744,0162650
517,Beauty and the Beast (2017),84854,168366,2771200
518,The To Do List (2013),84875,105037,1758795
519,Futurama: Bender's Big Score,84903,56251,0471711
520,Guys and Dolls (1955),84907,3549,0048140
521,Heidi (1965),84953,-1,-1
522,Adventures of Captain Marvel (1941),84974,93520,0033317
523,Simon Birch (1998),85003,2236,0124879
524,The Matrix (1999),85036,2571,0133093
525,The Breadwinner (2017),85059,181671,3901826
526,Teenage Mutant Ninja Turtles III (1993),85079,3440,0108308
527,The Astronaut's Wife (1999),85082,2827,0138304
528,Haunted Mansion (1998),85103,-1,-1
529,The Prisoner (2013),85106,-1,-1
530,The Player (1992),85120,2289,0105151
531,Dora (2016),85127,-1,-1
532,Little Nicky (2000),85159,3979,0185431
533,The Summit (2012),85183,109280,2363471
534,The Great Gilly Hopkins (2015),85195,-1,-1
535,Dahmer (2002),85198,8062,0285728
536,When Ladies Meet (1933),85204,87558,0024763
537,Because of You (1952),85258,-1,-1
538,Bichhoo (2000),85265,-1,-1
539,K2 (1991),85298,69542,0102178
540,Patch Adams (1998),85301,2431,0129290
541,The Babysitter (1995),85303,217,0112438
542,Big Top Pee-wee (1988),85414,-1,-1
543,The Brave Little Toaster (1987),85417,4090,0092695
544,This Is 40 (2012),85423,99117,1758830
545,The Falls (1980),85430,4935,0080715
546,7 Days in Havana (2012),85442,126546,1797348
547,A Haunted House (2013),85502,99787,2243537
548,The Black Panther (1921),85564,-1,-1
549,Confessions of a Teenage Drama Queen (2004),85566,7316,0361467
550,54 (1998),85575,2188,0120577
551,Fools Rush In (1949),85577,-1,-1
552,The Texas Chain Saw Massacre (1974),85612,-1,-1
553,American Gangster (2007),85637,55765,0765429
554,The Judge (2014),85645,115170,1872194
555,Into Thin Air: Death on Everest (1997),85648,134029,0118949
556,The Mummy (2017),85662,170827,2345759
557,I Love You Phillip Morris (2009),85665,74275,1045772
558,The Ninth Gate (1999),85668,3355,0142688
559,Freddy Got Fingered (2001),85739,4255,0240515
560,Escape (2012),85748,-1,-1
561,Due Date,85750,81537,1231583
562,Society (1989),85753,5606,0098354
563,Spetters (1980),85755,5249,0081547
564,Kick-Ass,85764,76251,1250777
565,Men (1997),85799,-1,-1
566,The Thriller (2010),85804,-1,-1
567,Rolling Thunder (1977),85811,7923,0076637
568,The Mummy Returns (2001),85832,4270,0209163
569,Bandits (1997),85851,2562,0118682
570,The Rage: Carrie 2 (1999),85863,2548,0144814
571,Inspector Gadget (1999),85868,2720,0141369
572,Harry Potter and the Chamber of Secrets (2002),85875,5816,0295297
573,Cliffhanger (1993),85879,434,0106582
574,Sol Goode (2001),85908,-1,-1
575,From the Hip (1987),85925,2751,0093051
576,Austin Powers in Goldmember (2002),85951,5481,0295178
577,In the Heart of the Sea (2015),85961,117466,1390411
578,Backdraft (1991),85963,3107,0101393
579,Dragon: The Bruce Lee Story (1993),85971,5055,0106770
580,"Love, Rosie (2014)",86002,115667,1638002
581,Wings (1927),86045,1925,0018578
582,The Piano (1993),86104,509,0107822
583,Dragon Tiger Gate (2006),86128,-1,-1
584,Spy Kids (2001),86152,4232,0227538
585,Ayn Rand: A Sense of Life (1996),86164,-1,-1
586,Black Sheep (1996),86168,88,0115697
587,Under the Tuscan Sun (2003),86191,6765,0328589
588,Nothing like the Holidays (2008),86222,-1,-1
589,Puppets (1916),86240,-1,-1
590,District 9 (2009),86245,70286,1136608
591,Godfather (1991),86246,-1,-1
592,Dudley Do-Right (1999),86268,2828,0160236
593,G.I. Joe: The Rise of Cobra (2009),86272,70336,1046173
594,JeruZalem (2015),86345,-1,-1
595,Red Dust (2004),86357,49234,0388364
596,Batman Forever (1995),86397,153,0112462
597,Children of the Corn (1984),86414,2122,0087050
598,The Departed (2006),86428,48516,0407887
599,The Howling (1981),86438,-1,-1
600,The Death of Stalin,86439,179119,4686844
601,American Psycho 2 (2002),86442,-1,-1
602,The Net (1995),86449,185,0113957
603,Predators (2010),86490,79057,1424381
604,The Jungle Book (1994),86506,362,0110213
605,Indian Summer (1993),86536,5589,0107212
606,The Ten Commandments (1956),86569,7386,0049833
607,Nanny McPhee (2005),86573,43560,0396752
608,Take the Money and Run (1969),86576,1963,0065063
609,The World According to Garp (1982),86619,4280,0084917
610,Race to Witch Mountain (2009),86652,70305,1075417
611,Pain & Gain (2013),86699,102033,1980209
612,Thoracocare,86728,-1,-1
613,Tarzan & Jane (2002),86733,174541,0313680
614,Five Children and It (2004),86772,44155,0366450
615,Drumline (2002),86815,5941,0303933
616,Return of the Living Dead,86819,4533,0089907
