conversation_index,message_index,text,messageId,Movie Name 1,IMDB ID 1,Movie Name 2,IMDB ID 2,Movie Name 3,IMDB ID 3
772,11,oh it's a mix of @114513  and @blow and @143198,17699,blow,https://www.imdb.com/title/tt0221027/,,,,
775,9,Did you see @Deadpool?  Kinda a comedy action movie,17754,Deadpool,https://www.imdb.com/title/tt1431045/,,,,
777,3,I have read all of Stephen King's books especially the Dark Tower series.  Have you seen the &quot;@Gunslinger&quot; movie yet,17796,Gunslinger,https://www.imdb.com/title/tt1648190/,,,,
777,11,Have you seen &quot;@Gerald's Game&quot;?,17853,Gerald's Game,https://www.imdb.com/title/tt3748172/,,,,
781,4,"I have never seen @Step Brothers, but I think if you like that movie you would also like @140335 and @199831 . Have you seen either of those?",17873,Step Brothers,https://www.imdb.com/title/tt0838283/,,,,
790,5,I have seen @Justice League. I liked it.,18091,Justice League,https://www.imdb.com/title/tt0974015/,,,,
800,14,I have not seen @Baby Driver but you mentioned action.  Just love the @119087 movies.  All of them,18390,Baby Driver,https://www.imdb.com/title/tt3890160/,,,,
805,6,I have seen them all.  Have you seen @Alien: Covenant?,18454,Alien: Covenant,https://www.imdb.com/title/tt2316204/,,,,
834,5,"Ok, I have seen @spy and it's really funny!",19095,spy,https://www.imdb.com/title/tt3079380/,,,,
840,9,"Hmm, I think I might @The Snowman. What is @114560 about?",19220,The Snowman,https://www.imdb.com/title/tt1758810/,,,,
843,5,@94056 and @Vertigo are two timeless classics,19241,Vertigo,https://www.imdb.com/title/tt0052357/,,,,
854,6,I love those old movies. Loved @Homeward,19473,Homeward,https://www.imdb.com/title/tt0107131/,,,,
880,2,"HI , i know just the movie for you and your daughter. The movie is called @Wonder .",20045,Wonder,https://www.imdb.com/title/tt2543472/,,,,
880,4,It is called just @Wonder its just recently released in the movies. Its about a boy that has alot of facial scarring and gets made fun of. So people dont see him he likes to wear a astronaut helmet that he got for christmas,20075,Wonder,https://www.imdb.com/title/tt2543472/,,,,
880,5,Last time I took her to the theater was a while ago. It was @The beauty and the beast,20077,The beauty and the beast,https://www.imdb.com/title/tt2771200/,,,,
882,0,You need to watch @Children of Men,20042,Children of Men,https://www.imdb.com/title/tt0206634/,,,,
882,7,Do you prefer British movies? I just watched @Hot Fuzz the other night.,20067,Hot Fuzz,https://www.imdb.com/title/tt0425112/,,,,
883,14,"I haven't seen @troll 2. I am not a horror fan, but I like your drama suggestions. Thanks.",20111,troll 2,https://www.imdb.com/title/tt0105643/,,,,
926,16,I have seen @Blade Runner but not the new one.,21099,Blade Runner,https://www.imdb.com/title/tt0083658/,,,,
940,6,have you seen @cars 3? that one actually made me cry a bit,21455,cars 3,https://www.imdb.com/title/tt3606752/,,,,
949,6,old movies are awesome a weird horror flick is @may,21630,may,https://www.imdb.com/title/tt0303361/,,,,
951,4,Have you seen @TheHangover,21673,TheHangover,https://www.imdb.com/title/tt1119646/,,,,
951,6,"Cool, you might want to check out @The Ring if you like horror, im sure you havent seen it!",21677,The Ring,https://www.imdb.com/title/tt0298130/,,,,
951,9,"Oh ok, awesome, you might like the horror movie @The Thing",21682,The Thing,https://www.imdb.com/title/tt0084787/,,,,
953,4,have you seen @jigsaw ye,21723,jigsaw,https://www.imdb.com/title/tt3348730/,,,,
960,6,Or you can try @Baywatch?,21819,Baywatch,https://www.imdb.com/title/tt1469304/,,,,
962,4,I've been into Shakespeare lately for romance.  How about @Romeo+Juliet?,21853,Romeo+Juliet,https://www.imdb.com/title/tt0117509/,,,,
